,fecha,tmin,horatmin,tmax,horatmax
0,2018-01-01,"5,3",07:48,"18,6",16:20
1,2018-01-02,"3,4",07:12,"18,3",16:05
2,2018-01-03,"9,7",00:00,"19,2",15:24
3,2018-01-04,"11,8",01:17,"16,0",14:37
4,2018-01-05,"12,5",23:48,"16,4",14:09
5,2018-01-06,"6,9",23:40,"13,3",14:47
6,2018-01-07,"3,1",04:59,"9,6",16:30
7,2018-01-08,"4,0",23:34,"11,1",15:30
8,2018-01-09,"2,8",03:36,"13,5",Varias
9,2018-01-10,"8,1",07:03,"16,9",16:09
10,2018-01-11,"7,1",07:30,"15,9",15:18
11,2018-01-12,"3,5",07:33,"13,2",14:41
12,2018-01-13,"5,3",06:30,"11,1",16:28
13,2018-01-14,"5,1",23:52,"12,5",14:55
14,2018-01-15,"2,9",06:44,"14,2",15:47
15,2018-01-16,"3,4",03:59,"16,2",16:31
16,2018-01-17,"7,0",02:49,"18,2",15:30
17,2018-01-18,"8,6",07:31,"17,5",13:59
18,2018-01-19,"5,5",07:23,"18,5",15:45
19,2018-01-20,"4,0",07:17,"17,3",15:36
20,2018-01-21,"4,1",07:30,"18,3",15:55
21,2018-01-22,"5,8",05:20,"19,8",16:28
22,2018-01-23,"6,1",05:46,"19,8",15:57
23,2018-01-24,"5,9",07:55,"19,0",15:48
24,2018-01-25,"7,5",23:54,"15,3",11:46
25,2018-01-26,"5,2",07:27,"14,9",15:31
26,2018-01-27,"3,8",06:20,"15,5",13:52
27,2018-01-28,"3,4",04:11,"16,4",15:24
28,2018-01-29,"9,2",01:43,"19,3",15:05
29,2018-01-30,"9,8",02:40,"18,1",13:09
30,2018-01-31,"9,8",01:54,"18,6",15:05
31,2018-02-01,"6,3",04:56,"17,0",15:41
32,2018-02-02,"3,7",23:25,"14,8",15:06
33,2018-02-03,"1,1",07:32,"15,1",14:49
34,2018-02-04,"4,2",23:44,"12,5",15:45
35,2018-02-05,"1,4",05:04,"12,9",14:12
36,2018-02-06,"3,0",07:47,"14,5",15:43
37,2018-02-07,"1,3",05:58,"13,3",15:41
38,2018-02-08,"1,4",06:45,"14,6",15:56
39,2018-02-09,"-0,6",06:55,"13,8",15:29
40,2018-02-10,"3,9",07:40,"16,7",15:52
41,2018-02-11,"2,5",07:33,"17,5",15:10
42,2018-02-12,"5,5",23:59,"18,6",15:29
43,2018-02-13,"2,5",04:38,"16,6",15:38
44,2018-02-14,"2,5",06:18,"16,7",15:01
45,2018-02-15,"5,0",05:46,"21,0",17:32
46,2018-02-16,"7,6",04:30,"22,4",16:09
47,2018-02-17,"8,9",06:30,"17,3",15:59
48,2018-02-18,"6,2",07:54,"20,4",15:38
49,2018-02-19,"6,9",06:57,"19,5",15:03
50,2018-02-20,"5,2",06:38,"21,9",17:24
51,2018-02-21,"7,1",Varias,"20,5",16:08
52,2018-02-22,"3,0",05:52,"18,0",16:08
53,2018-02-23,"2,2",06:51,"17,7",16:18
54,2018-02-24,"2,5",04:10,"18,5",14:59
55,2018-02-25,"8,4",23:27,"18,8",15:07
56,2018-02-26,"6,2",02:43,"20,6",13:04
57,2018-02-27,"12,3",06:22,"18,2",14:11
58,2018-02-28,"13,5",07:40,"16,4",15:44
59,2018-03-01,"12,3",21:11,"19,0",15:11
60,2018-03-02,"10,4",05:17,"17,6",15:50
61,2018-03-03,"11,9",22:51,"17,0",12:58
62,2018-03-04,"11,1",07:58,"17,9",13:51
63,2018-03-05,"11,3",Varias,"17,4",11:40
64,2018-03-06,"9,7",Varias,"15,4",Varias
65,2018-03-07,"4,9",06:30,"15,2",13:20
66,2018-03-08,"11,1",00:00,"18,5",Varias
67,2018-03-09,"14,4",04:59,"17,4",10:56
68,2018-03-10,"11,5",23:37,"18,9",Varias
69,2018-03-11,"11,3",05:09,"17,2",12:53
70,2018-03-12,"9,1",06:21,"18,4",14:48
71,2018-03-13,"12,7",01:02,"20,5",15:00
72,2018-03-14,"12,8",23:54,"17,7",13:39
73,2018-03-15,"8,9",23:52,"17,4",12:29
74,2018-03-16,"6,6",06:34,"17,1",14:29
75,2018-03-17,"7,7",04:01,"15,7",20:55
76,2018-03-18,"9,8",Varias,"16,1",13:44
77,2018-03-19,"8,6",05:01,"16,1",13:37
78,2018-03-20,"4,9",05:45,"15,5",16:11
79,2018-03-21,"4,3",03:09,"16,3",15:59
80,2018-03-22,"3,8",06:28,"17,2",15:14
81,2018-03-23,"6,2",03:49,"14,5",Varias
82,2018-03-24,"8,5",06:38,"16,9",14:54
83,2018-03-25,"9,2",23:48,"17,8",Varias
84,2018-03-26,"5,6",04:30,"20,2",15:33
85,2018-03-27,"7,2",05:36,"25,0",16:31
86,2018-03-28,"9,3",04:28,"26,5",15:25
87,2018-03-29,"9,7",03:33,"19,9",14:48
88,2018-03-30,"9,9",02:11,"17,4",14:53
89,2018-03-31,"8,5",06:39,"19,9",16:41
90,2018-04-01,"8,1",04:03,"24,0",14:34
91,2018-04-02,"8,6",06:27,"20,4",14:38
92,2018-04-03,"13,2",04:54,"20,9",13:35
93,2018-04-04,"10,9",05:31,"22,2",15:37
94,2018-04-05,"9,0",05:16,"25,8",14:46
95,2018-04-06,"11,5",06:10,"22,2",13:17
96,2018-04-07,"10,7",05:18,"17,2",14:09
97,2018-04-08,"8,5",06:12,"19,1",14:24
98,2018-04-09,"7,8",05:57,"16,9",13:55
99,2018-04-10,"8,5",04:22,"15,3",16:12
100,2018-04-11,"8,1",04:59,"18,3",15:01
101,2018-04-12,"9,9",23:45,"14,6",10:58
102,2018-04-13,"7,4",03:40,"16,2",17:20
103,2018-04-14,"5,8",05:51,"20,6",14:10
104,2018-04-15,"9,4",06:02,"18,7",11:33
105,2018-04-16,"8,6",05:52,"20,8",16:16
106,2018-04-17,"9,5",04:53,"25,7",16:22
107,2018-04-18,"10,0",05:39,"28,4",15:42
108,2018-04-19,"11,3",05:12,"26,7",14:11
109,2018-04-20,"15,1",04:28,"25,2",Varias
110,2018-04-21,"15,7",05:12,"23,6",15:37
111,2018-04-22,"15,1",06:11,"24,7",16:06
112,2018-04-23,"16,3",05:20,"27,8",14:26
113,2018-04-24,"16,8",05:27,"25,9",15:50
114,2018-04-25,"14,1",05:30,"25,7",16:08
115,2018-04-26,"15,0",04:48,"25,0",14:58
116,2018-04-27,"14,3",05:08,"25,2",15:27
117,2018-04-28,"11,1",23:59,"19,8",15:15
118,2018-04-29,"8,9",05:41,"19,2",14:29
119,2018-04-30,"6,9",05:42,"17,8",14:44
120,2018-05-01,"7,4",05:11,"18,1",12:43
121,2018-05-02,"7,2",05:04,"20,7",15:28
122,2018-05-03,"8,8",03:59,"25,3",15:52
123,2018-05-04,"11,6",04:58,"25,9",16:14
124,2018-05-05,"11,4",04:18,"27,5",16:45
125,2018-05-06,"12,9",05:28,"27,7",16:00
126,2018-05-07,"14,1",03:46,"27,9",16:31
127,2018-05-08,"14,3",05:23,"27,0",13:51
128,2018-05-09,"16,2",07:07,"21,6",17:01
129,2018-05-10,"13,8",23:55,"22,9",14:06
130,2018-05-11,"11,3",04:56,"24,5",15:10
131,2018-05-12,"12,2",23:51,"24,2",14:38
132,2018-05-13,"8,8",05:00,"23,5",16:30
133,2018-05-14,"9,2",04:50,"27,1",15:46
134,2018-05-15,"13,9",04:54,"29,6",18:48
135,2018-05-16,"12,0",04:38,"29,8",15:40
136,2018-05-17,"13,7",05:20,"30,2",16:30
137,2018-05-18,"14,5",04:30,"28,1",15:33
138,2018-05-19,"15,1",05:24,"28,2",15:03
139,2018-05-20,"14,3",05:48,"24,7",15:10
140,2018-05-21,"15,9",06:38,"25,3",14:19
141,2018-05-22,"15,3",04:53,"27,1",17:29
142,2018-05-23,"14,8",04:16,"27,8",14:48
143,2018-05-24,"15,1",23:52,"23,7",12:22
144,2018-05-25,"14,1",00:42,"24,1",14:52
145,2018-05-26,"15,1",04:42,"24,8",16:34
146,2018-05-27,"15,6",04:22,"25,2",15:01
147,2018-05-28,"15,9",02:20,"25,6",14:11
148,2018-05-29,"12,9",05:15,"22,9",12:46
149,2018-05-30,"15,6",23:56,"24,0",17:47
150,2018-05-31,"12,6",04:15,"27,8",17:10
151,2018-06-01,"14,2",04:49,"27,4",14:32
152,2018-06-02,"13,6",03:25,"24,6",13:34
153,2018-06-03,"14,6",04:54,"26,7",13:49
154,2018-06-04,"14,2",05:21,"25,1",16:27
155,2018-06-05,"14,5",05:34,"23,7",14:05
156,2018-06-06,"15,7",00:40,"25,9",15:21
157,2018-06-07,"13,8",04:57,"25,9",13:57
158,2018-06-08,"14,8",23:33,"20,6",17:20
159,2018-06-09,"14,3",02:35,"25,5",15:20
160,2018-06-10,"14,7",02:48,"25,8",13:51
161,2018-06-11,"15,6",02:37,"24,8",14:51
162,2018-06-12,"13,7",04:07,"28,9",14:46
163,2018-06-13,"16,0",04:47,"31,8",14:50
164,2018-06-14,"16,6",05:10,"33,1",16:01
165,2018-06-15,"16,0",04:54,"35,4",14:39
166,2018-06-16,"18,9",04:33,"35,6",15:39
167,2018-06-17,"18,7",05:17,"38,0",17:28
168,2018-06-18,"19,9",05:23,"39,3",15:46
169,2018-06-19,"19,9",04:50,"36,7",16:13
170,2018-06-20,"19,8",04:30,"35,4",16:08
171,2018-06-21,"20,7",Varias,"34,2",15:58
172,2018-06-22,"20,1",04:58,"35,2",16:01
173,2018-06-23,"18,6",05:12,"36,8",15:01
174,2018-06-24,"20,6",05:14,"34,2",15:02
175,2018-06-25,"20,2",Varias,"29,9",16:23
176,2018-06-26,"18,3",05:20,"32,3",15:21
177,2018-06-27,"17,8",04:41,"32,4",14:33
178,2018-06-28,"18,1",04:30,"27,9",Varias
179,2018-06-29,"17,0",04:30,"29,8",14:45
180,2018-06-30,"17,4",05:05,"27,9",12:24
181,2018-07-01,"18,2",05:53,"27,0",12:30
182,2018-07-02,"17,2",05:29,"29,6",16:39
183,2018-07-03,"16,6",04:55,"33,6",15:29
184,2018-07-04,"16,2",05:20,"31,0",15:59
185,2018-07-05,"17,3",03:54,"32,2",14:45
186,2018-07-06,"17,3",04:29,"35,7",16:09
187,2018-07-07,"18,3",05:26,"37,4",16:11
188,2018-07-08,"19,8",05:12,"36,7",15:25
189,2018-07-09,"20,0",05:21,"37,0",15:25
190,2018-07-10,"19,9",04:50,"31,3",14:28
191,2018-07-11,"19,9",Varias,"30,6",14:08
192,2018-07-12,"19,7",00:37,"27,9",14:43
193,2018-07-13,"16,6",04:41,"29,5",16:26
194,2018-07-14,"16,8",Varias,"28,6",13:56
195,2018-07-15,"18,2",00:37,"28,7",14:20
196,2018-07-16,"16,1",05:14,"33,4",17:24
197,2018-07-17,"17,5",03:54,"36,9",14:58
198,2018-07-18,"17,2",05:13,"34,6",16:00
199,2018-07-19,"16,4",05:25,"34,6",15:50
200,2018-07-20,"17,5",04:48,"36,1",16:30
201,2018-07-21,"18,9",04:49,"34,7",16:01
202,2018-07-22,"17,6",05:01,"34,8",15:58
203,2018-07-23,"17,5",05:15,"34,2",15:17
204,2018-07-24,"19,3",06:46,"33,5",14:48
205,2018-07-25,"17,6",04:26,"34,3",14:47
206,2018-07-26,"18,0",03:46,"33,0",15:49
207,2018-07-27,"18,3",05:24,"35,3",15:10
208,2018-07-28,"18,5",05:37,"33,1",Varias
209,2018-07-29,"18,8",05:23,"32,8",14:31
210,2018-07-30,"17,3",04:39,"35,1",15:26
211,2018-07-31,"17,9",04:57,"39,1",17:52
212,2018-08-01,"21,2",05:42,"42,4",16:20
213,2018-08-02,"24,7",03:42,"42,5",15:42
214,2018-08-03,"23,6",05:32,"44,5",15:44
215,2018-08-04,"24,2",05:45,"41,9",13:35
216,2018-08-05,"22,0",05:25,"41,7",14:33
217,2018-08-06,"22,5",04:35,"41,4",15:38
218,2018-08-07,"24,3",06:13,"40,6",15:24
219,2018-08-08,"21,8",04:57,"35,6",16:00
220,2018-08-09,"17,8",05:49,"34,4",16:18
221,2018-08-10,"17,6",05:08,"38,0",14:18
222,2018-08-11,"21,3",05:46,"38,3",15:49
223,2018-08-12,"23,1",05:20,"37,2",16:03
224,2018-08-13,"21,7",05:46,"35,3",14:25
225,2018-08-14,"18,9",05:25,"34,9",14:40
226,2018-08-15,"18,0",04:19,"31,4",14:28
227,2018-08-16,"20,2",00:47,"30,7",15:55
228,2018-08-17,"19,4",06:26,"36,3",16:19
229,2018-08-18,"21,0",04:34,"38,8",14:41
230,2018-08-19,"21,5",05:37,"38,3",Varias
231,2018-08-20,"23,0",05:55,"37,9",15:15
232,2018-08-21,"21,9",04:41,"38,6",15:30
233,2018-08-22,"21,8",06:03,"37,9",16:18
234,2018-08-23,"21,8",05:22,"38,7",15:03
235,2018-08-24,"21,3",04:56,"39,1",15:02
236,2018-08-25,"21,5",05:40,"37,2",15:19
237,2018-08-26,"18,8",05:36,"38,5",15:30
238,2018-08-27,"21,6",04:04,"39,9",16:25
239,2018-08-28,"21,7",05:38,"36,6",15:36
240,2018-08-29,"21,1",02:30,"34,6",16:12
241,2018-08-30,"18,8",05:45,"36,1",16:25
242,2018-08-31,"21,4",05:59,"39,0",15:02
243,2018-09-01,"21,8",05:56,"39,0",12:44
244,2018-09-02,"22,5",06:15,"38,3",12:35
245,2018-09-03,"20,7",23:47,"28,9",12:59
246,2018-09-04,"18,0",05:43,"29,5",15:26
247,2018-09-05,"18,9",01:39,"30,0",14:11
248,2018-09-06,"17,8",05:25,"31,6",14:56
249,2018-09-07,"17,6",06:21,"30,5",15:31
250,2018-09-08,"19,4",03:52,"27,7",16:17
251,2018-09-09,"20,8",03:46,"33,9",15:28
252,2018-09-10,"18,1",05:56,"34,6",16:05
253,2018-09-11,"20,8",05:59,"34,6",15:13
254,2018-09-12,"21,4",04:22,"35,7",14:43
255,2018-09-13,"20,9",03:15,"33,4",15:10
